column_x,column_y,correlation,row,column
Status,Status,1,1,1
Status,Stars,-0.035534694,1,2
Status,Review,0.162688119,1,3
Status,Compliment,-0.031682824,1,4
Status,Region,-0.043325165,1,5
Status,Cinema,-0.021325548,1,6
Status,Beach,-0.038609991,1,7
Status,Museum,0.018233107,1,8
Status,Mall,0.009929384,1,9
Stars,Status,-0.035534694,2,1
Stars,Stars,1,2,2
Stars,Review,0.202360576,2,3
Stars,Compliment,-0.039865316,2,4
Stars,Region,0.108654328,2,5
Stars,Cinema,-0.014118211,2,6
Stars,Beach,0.041132055,2,7
Stars,Museum,0.014659909,2,8
Stars,Mall,-0.006262244,2,9
Review,Status,0.162688119,3,1
Review,Stars,0.202360576,3,2
Review,Review,1,3,3
Review,Compliment,0.000686352,3,4
Review,Region,0.050190901,3,5
Review,Cinema,-0.009164367,3,6
Review,Beach,0.08121841,3,7
Review,Museum,-0.002634692,3,8
Compliment,Mall,-0.057791666,3,9
Compliment,Status,-0.031682824,4,1
Compliment,Stars,-0.039865316,4,2
Compliment,Review,0.000686352,4,3
Compliment,Compliment,1,4,4
Compliment,Region,0.001287891,4,5
Compliment,Cinema,0.011145416,4,6
Compliment,Beach,0.010818984,4,7
Compliment,Museum,0.010041012,4,8
Compliment,Mall,0.019361874,4,9
Region,Status,-0.043325165,5,1
Region,Stars,0.108654328,5,2
Region,Review,0.050190901,5,3
Region,Compliment,0.001287891,5,4
Region,Region,1,5,5
Region,Cinema,-0.007939795,5,6
Region,Beach,0.017473743,5,7
Region,Museum,0.033422481,5,8
Region,Mall,0.015460759,5,9
Cinema,Status,-0.021325548,6,1
Cinema,Stars,-0.014118211,6,2
Cinema,Review,-0.009164367,6,3
Cinema,Compliment,0.011145416,6,4
Cinema,Region,-0.007939795,6,5
Cinema,Cinema,1,6,6
Cinema,Beach,-0.102798489,6,7
Cinema,Museum,0.232508474,6,8
Cinema,Mall,0.065867447,6,9
Beach,Status,-0.038609991,7,1
Beach,Stars,0.041132055,7,2
Beach,Review,0.08121841,7,3
Beach,Compliment,0.010818984,7,4
Beach,Region,0.017473743,7,5
Beach,Cinema,-0.102798489,7,6
Beach,Beach,1,7,7
Beach,Museum,-0.176341017,7,8
Beach,Mall,-0.107842848,7,9
Museum,Status,0.018233107,8,1
Museum,Stars,0.014659909,8,2
Museum,Review,-0.002634692,8,3
Museum,Compliment,0.010041012,8,4
Museum,Region,0.033422481,8,5
Museum,Cinema,0.232508474,8,6
Museum,Beach,-0.176341017,8,7
Museum,Museum,1,8,8
Museum,Mall,-0.028182368,8,9
Mall,Status,0.009929384,9,1
Mall,Stars,-0.006262244,9,2
Mall,Review,-0.057791666,9,3
Mall,Compliment,0.019361874,9,4
Mall,Region,0.015460759,9,5
Mall,Cinema,0.065867447,9,6
Mall,Beach,-0.107842848,9,7
Mall,Museum,-0.028182368,9,8
Mall,Mall,1,9,9
