"","business_id","name","address","City","State","postal_code","latitude","longitude","stars","review_count","is_open","categories","compliment_count","Business.Status","Special Category"
"1","vje0KIiE7vtpx7JzmBx5LQ","The Pearl","163 107th Ave","Treasure Island","FL","33706",27.7694046,-82.767317,4,129,1,"Restaurants, French, Moroccan, Seafood, Mediterranean",0,"Open","Seafood"
"2","SFKjUQ1gmfwm7cJhMCFmkA","ZigZag Scallop","4417 Calienta St","Hernando Beach","FL","34607",28.4977,-82.650015,4,214,1,"Nightlife, Seafood, Bars, Restaurants, American (Traditional)",0,"Open","Seafood"
"3","oRZzKWdyMQld6N_y4UWkAg","Terra Sur Cafe","5330 Ehrlich Rd, Ste 103","Tampa","FL","33624",28.0819277157,-82.5391477434,4,316,1,"Latin American, Restaurants, Peruvian, Seafood",0,"Open","Seafood"
"4","WcUS0B2iFLPAsdUZMwKkWw","Surf and Turf Cafe","101 N Franklin St","Tampa","FL","33602",27.9456571,-82.4567437,3,5,0,"Seafood, Restaurants, Sandwiches",0,"Close","Seafood"
"5","3n_G-_DwOJ2VS4uGxBN6sg","Lan Zhou Lamen","2716 E Fowler Ave","Tampa","FL","33612",28.0554349,-82.4292524,4,78,1,"Chinese, Noodles, Seafood, Chicken Wings, Restaurants",0,"Open","Seafood"
"6","ZpXZgnBrNodHH8pKpOK_Kg","Jesse's Steak and Seafood","524 W Brandon Blvd","Brandon","FL","33511",27.9381358,-82.2920736,4,267,1,"Sandwiches, Steakhouses, Restaurants, Seafood",0,"Open","Seafood"
"7","rc4nXqvuHmqM5JDnKxS5LA","Key West Shrimp Company","7217 Gulf Blvd, Ste 13","St Pete Beach","FL","33706",27.740791,-82.750265,4,32,1,"Grocery, Seafood, Do-It-Yourself Food, Restaurants, Food, Specialty Food, Seafood Markets",0,"Open","Seafood"
"8","TghRoAMx43V-9l7mH-SENg","Crabby Bills Clearwater Beach","37 Causeway Blvd","Clearwater Beach","FL","33767",27.9770768,-82.8277495,3.5,408,0,"Food, Seafood, Restaurants, American (Traditional), Specialty Food, Seafood Markets",0,"Close","Seafood"
"9","bN7KQSVbEmRVJnQEkl3vkw","Nicks Gyros and Subs","3501 E Hillsborough Ave","Tampa","FL","33610",27.9958027,-82.4213829,3.5,29,1,"Restaurants, Sandwiches, Salad, Seafood",0,"Open","Seafood"
"10","W0IFKY22NruJ9dC02yvVqg","Kally K's Steakery & Fishery","1600 Main St","Dunedin","FL","34698",28.0198079969,-82.7603502986,2.5,18,0,"Seafood, Steakhouses, Restaurants, Breakfast & Brunch",0,"Close","Seafood"
"11","-zsvmEbkd-K9K2DAAKqiEQ","Salty's Island Bar & Grille","437 S Gulfview Blvd","Clearwater Beach","FL","33767",27.969764,-82.829336,4,599,1,"Mexican, American (New), Seafood, Bars, Sandwiches, Restaurants, Nightlife",0,"Open","Seafood"
"12","0l0R_1x2RC8pEwP-OG6UxA","Roberts Meats And Catering","3435 S West Shore Blvd","TAMPA","FL","33629",27.911868,-82.52705,3.5,72,0,"Restaurants, Meat Shops, Barbeque, Seafood, Sandwiches, Butcher, Specialty Food, Delis, Food, Burgers",0,"Close","Seafood"
"13","encfXG_jrG1M6gX1IqrHrw","Ballyhoo Grill","7604 Ehrlich Rd","Tampa","FL","33625",28.07824,-82.569894,3.5,262,0,"Restaurants, Seafood, Steakhouses",0,"Close","Seafood"
"14","4ulvTVp4_eXb3XVMrXfRyQ","Alfresco's","501 5th Ave NE","St Petersburg","FL","33701",27.778450803,-82.6294136794,3,12,0,"Event Planning & Services, Bars, Seafood, Nightlife, Hotels & Travel, Restaurants, Hotels, American (Traditional), American (New)",0,"Close","Seafood"
"15","xkTjLbBC7uB-rAIDqAm-sw","Los Comparres","5305 N Armenia Ave","Tampa","FL","33603",27.995155,-82.48414,4.5,339,1,"Street Vendors, Restaurants, Mexican, Food Trucks, Food, Seafood",0,"Open","Seafood"
"16","zPmSsAdvoBbo94msaYCLYg","Chopstix","1441 E Fletcher Ave","Tampa","FL","33612",28.0688469,-82.4437504,3,32,0,"Restaurants, Chinese, Seafood",0,"Close","Seafood"
"17","zSEFzAbxnO44w8ACQ_XkAA","Akira Hibachi & Sushi Bar","13420 Boyette Rd","Riverview","FL","33569",27.8521439085,-82.2678940657,4,74,1,"Asian Fusion, Sushi Bars, Restaurants, Gluten-Free, Japanese, Seafood, Steakhouses",0,"Open","Seafood"
"18","xCveOAv9FhUGAGr-qNhKuQ","Sweet Island Vibes","351 W Bay Dr","Largo","FL","33770",27.9163243,-82.7918821,3,12,0,"Event Planning & Services, Nightlife, Bars, Seafood, Arts & Entertainment, Caribbean, Restaurants, Cocktail Bars, Venues & Event Spaces, Beer Bar, Music Venues, Caterers",0,"Close","Seafood"
"19","AIz4DpQVVpeC9tiNnGLy_g","Monstah Lobstah","1901 W Platt","Tampa","FL","33606",27.942091,-82.479153,4,34,0,"Seafood, Restaurants",0,"Close","Seafood"
"20","jIDoMS9MNuyDFVC1P3ZblA","Mr. & Mrs. Crab","6798 Crosswinds Dr N","Saint Petersburg","FL","33710",27.789998,-82.732881,4,41,1,"Seafood, Bars, Cocktail Bars, Cajun/Creole, Nightlife, Restaurants",0,"Open","Seafood"
"21","8K73iRrUIXcwTB5SKetptQ","Sushi-Haru","3817 Northdale Blvd","Tampa","FL","33624",28.0943138,-82.5041143,3.5,63,0,"Japanese, Restaurants, Seafood, Sushi Bars",0,"Close","Seafood"
"22","1XttS5NTqLxhyNb-Rt2fOQ","Keith's Oaks Bar & Grill","108 Lithia Pinecrest Rd","Brandon","FL","33511",27.9369722778,-82.281604732,3,93,1,"Restaurants, Seafood",0,"Open","Seafood"
"23","USekrAG0-4tJUs9V2gBBOQ","The Honu","516 Grant St","Dunedin","FL","34698",28.0136119,-82.7852494,4,234,1,"Poke, Breakfast & Brunch, Parks, Mexican, Soup, Nightlife, Food, American (New), Restaurants, Bars, Music Venues, Active Life, Sandwiches, Tiki Bars, Hawaiian, Seafood, Arts & Entertainment, Dog Parks, Tex-Mex, Salad",0,"Open","Seafood"
"24","L-YdO_NODKXXT3bkS0nUpg","RumFish Grill","6000 Gulf Blvd","Saint Pete Beach","FL","33706",27.732229,-82.746455,3.5,664,1,"American (Traditional), Restaurants, Bars, Seafood, Nightlife",0,"Open","Seafood"
"25","NbgxCd-ImFiiV9mUtZRT8Q","Big Ray's Fish Camp & Grille Riverwalk","333 S Franklin St","Tampa","FL","33602",27.940566062,-82.4549970111,3,59,1,"Seafood, Restaurants",0,"Open","Seafood"
"26","bd8bXrhpd2HIRo5qpSZhJg","Lima Rotisserie Chicken And Peruvian Cuisine","19062 Bruce B Downs Blvd","Tampa","FL","33647",28.146239,-82.354592,4.5,55,1,"Soup, Seafood, Peruvian, Chicken Shop, Latin American, Restaurants",0,"Open","Seafood"
"27","gKPWC7F219oEbu5NXPzH4g","Sam's Beach Bar","6325 Clark St","Hudson","FL","34667",28.3619386,-82.7103407,3.5,555,1,"Seafood, American (Traditional), Music Venues, Caribbean, Arts & Entertainment, Nightlife, Restaurants",0,"Open","Seafood"
"28","BjBDHqHhMXSxgyVipccznQ","Rusty Pelican - Tampa","2425 Rocky Point Dr","Tampa","FL","33607",27.962265,-82.569991,4,745,1,"African, Venues & Event Spaces, Steakhouses, Restaurants, Seafood, American (New), Event Planning & Services",0,"Open","Seafood"
"29","fa6InRseC0Uxnt5d90E3LQ","Trophy Fish","2060 Central Ave","Saint Petersburg","FL","33712",27.7708598,-82.6614776,4,167,1,"Nightlife, Bars, Seafood, Restaurants",0,"Open","Seafood"
"30","hKameFsaXh9g8WQbv593UA","Aquafinz","16553 Pointe Village Dr","Lutz","FL","33558",28.1900210385,-82.5404296573,3.5,86,0,"Seafood, Steakhouses, Salad, Comfort Food, Restaurants, Southern",0,"Close","Seafood"
"31","gambCINfjny6RLKyZQzEtQ","Coast Tampa's Bay Cuisine","5312 Avion Park Dr","Tampa","FL","33607",27.9576738,-82.5334455,4,38,1,"American (New), Seafood, Breakfast & Brunch, Restaurants",0,"Open","Seafood"
"32","V8H6z5ulGJEkaFUyRfmLKw","Sculley's Waterfront Restaurant","190 Boardwalk Pl E","Madeira Beach","FL","33708",27.78556,-82.7812484,2.5,355,1,"Seafood, Bars, Restaurants, Nightlife, Cocktail Bars, Mexican",0,"Open","Seafood"
"33","tsx84z4c0B-y6J5fqfvBqg","Mr and Mrs Crab","7550 US Hwy 19 N","Pinellas Park","FL","33781",27.8406421,-82.6854098,4,360,1,"Nightlife, Cajun/Creole, Bars, Cocktail Bars, Restaurants, Seafood",0,"Open","Seafood"
"34","Sw7qcWQ5_iOUjBZMhSxyOQ","Ted Peter's Famous Smoked Fish","1350 Pasadena Ave S","South Pasadena","FL","33707",27.755415,-82.735603,4,480,1,"Seafood, Burgers, Restaurants",0,"Open","Seafood"
"35","vR1ZFHY1Z0DtkzeHZX0taA","Caruso Ristorante Italiano","124 107th Ave","Treasure Island","FL","33706",27.7699108,-82.7683528,4.5,76,1,"Restaurants, Sandwiches, Breakfast & Brunch, Italian, Seafood",0,"Open","Seafood"
"36","ZbJU9IM3vOpAwRMUWwb9pw","Crab House","811 Dr Martin Luther King Jr St S","Saint Petersburg","FL","33705",27.7619063,-82.64691,4.5,19,1,"Restaurants, Seafood",0,"Open","Seafood"
"37","ICqgjbOpBD9SUtE5PQC9sA","Captain Bill's Oyster Bar","145 107th Ave","Treasure Island","FL","33706",27.769373,-82.767551,4,493,1,"American (New), Cocktail Bars, Seafood, Bars, Restaurants, Nightlife",0,"Open","Seafood"
"38","jcQ2ykQjVjSiVFf0EtH6eg","Michael's Grill","11720 N Dale Mabry Hwy","Tampa","FL","33618",28.055233,-82.505702,4,162,1,"American (New), Nightlife, Breakfast & Brunch, Bars, American (Traditional), Seafood, Restaurants",0,"Open","Seafood"
"39","_4CDv5gKHpPb1ALZKS4Sjw","Bro's Pizzeria & Bar","2535 E Bay Dr","Largo","FL","33771",27.9161635,-82.7609045,4,98,1,"Restaurants, Nightlife, Seafood, Bars, Italian, Pizza",0,"Open","Seafood"
"40","jn7yLpUT9OvU0UMlCux8XA","River's Edge","200 N Ashley Dr","Tampa","FL","33602",27.946133,-82.459523,3.5,26,1,"Restaurants, Cocktail Bars, American (New), Bars, Hotels & Travel, Tapas/Small Plates, Hotels, Event Planning & Services, Nightlife, Seafood",0,"Open","Seafood"
"41","pFnoqSPstZKsnyeNBIeuZg","Angelos Pizza","2621 US Hwy 19","Holiday","FL","34691",28.197055,-82.740837,4,115,1,"Italian, Pizza, Restaurants, Seafood",0,"Open","Seafood"
"42","tUhPRgJ7mBx-1fGef7Nv3w","TJ's Italian Cafe","1515 Gulf Blvd","Indian Rocks Beach","FL","33785",27.8984072785,-82.8479462971,3.5,166,1,"Italian, Restaurants, Seafood, Pizza",0,"Open","Seafood"
"43","tP6tk-M8y09QKIoOO0JIbw","Shark Tales","677 75th Ave","St Pete Beach","FL","33706",27.7410758,-82.7541737,3,96,0,"Nightlife, Restaurants, American (New), Seafood, Bars, American (Traditional), Hot Dogs",0,"Close","Seafood"
"44","TXoxXn3IETBBJxZQMQK3rw","La Casona","5709 N Armenia Ave","Tampa","FL","33603",27.9994336,-82.4841383,3.5,142,1,"Seafood, Soup, Restaurants, Spanish, Puerto Rican, Caribbean",0,"Open","Seafood"
"45","NH9LSB4Qz2v0fHTMz9sQ0w","Boat Run Oyster","615 Channelside Dr, Ste 5","Tampa","FL","33602",27.9434725,-82.4475534,4.5,75,0,"Live/Raw Food, Food, Seafood, Restaurants, Specialty Food",0,"Close","Seafood"
"46","vUTkL2n4AgWj8MZuXDblWA","Spinners Revolving Roof-Top Lounge","5250 Gulf Blvd","St. Pete Beach","FL","33706",27.7259921827,-82.7428642718,3.5,177,1,"Hotels, Caterers, Restaurants, Seafood, Hotels & Travel, Sandwiches, Salad, Event Planning & Services",0,"Open","Seafood"
"47","hAmuto6UndVroyd_DaD-TA","Lobster Haven","12807 W Hillsborough Ave","Tampa","FL","33635",28.0300603,-82.6384793,4,441,1,"Specialty Food, Seafood Markets, Seafood, Food, Restaurants",0,"Open","Seafood"
"48","8agPzX-O-8LEDjDNloSdzQ","Groupers On The Gulf","1401 Gulf Blvd","Indian Rocks Beach","FL","33785",27.896856,-82.848033,4.5,117,1,"Soup, Seafood, Salad, Cuban, Restaurants, Barbeque",0,"Open","Seafood"
"49","kQANkgj6vHc1xCmxfNBNjA","Enzo's Pizzeria & Pasta from New York","11653 Countryway Blvd","Westchase","FL","33588",28.0699285,-82.6300709,4,38,0,"Pasta Shops, Sandwiches, Pizza, Seafood, Food, Specialty Food, Italian, Restaurants",0,"Close","Seafood"
"50","A_O6Dsmh3gyee_S_ahoTyA","Gulfport Family Restaurant","2025 49th St S","Gulfport","FL","33707",27.749346,-82.700096,3,24,1,"American (Traditional), Seafood, Breakfast & Brunch, Restaurants, Diners, Food, Desserts",0,"Open","Seafood"
"51","-mq1DwgcLU96PQbmcv3jRQ","P J's Oyster Bar","500 1st St","Indian Rocks Beach","FL","33785",27.8845027,-82.8495749,3.5,118,0,"Nightlife, Seafood, Bars, Restaurants",0,"Close","Seafood"
"52","f_RSvdde7iSuvdLuQz3VgQ","Grill 131","13079 Park Blvd N","Seminole","FL","33776",27.8449679,-82.8195152,3.5,51,0,"American (New), Desserts, Restaurants, Food, Steakhouses, Seafood, American (Traditional)",0,"Close","Seafood"
"53","TB1FQ3iO9KJWOU56sA7Ozw","Boardwalk Pasta & Seafood","5901 Sun Blvd","Saint Petersburg","FL","33715",27.7133102,-82.7143138,3,61,0,"Seafood, Beer, Wine & Spirits, American (New), Nightlife, Bars, American (Traditional), Food, Restaurants",0,"Close","Seafood"
"54","LnJSsNVZkStgtj86fJrKxQ","J D's Restaurant & Lounge","125 Gulf Blvd","Indian Rocks Beach","FL","33785",27.8791056191,-82.8501277135,3,200,1,"Bars, Seafood, Nightlife, Lounges, Restaurants",0,"Open","Seafood"
"55","nEL3oEQEhOAI1o4Bzgkbnw","Long John Silver's","351 Missouri Ave N","Largo","FL","33770",27.9198368,-82.7881131,2.5,9,0,"Seafood, Restaurants, Fast Food",0,"Close","Seafood"
"56","OQ1tbQ2V0SpNfDikkd8Zuw","Captain Just Crab House","11010 30th St","Tampa","FL","33612",28.0486157,-82.42661,4,9,0,"Restaurants, Seafood",0,"Close","Seafood"
"57","RnqU698MbIjq_eZHEzYL6g","Top China","3810 W Neptune St","Tampa","FL","33629",27.9297615054,-82.5065715719,3,43,1,"Seafood, Chinese, Restaurants, Thai",0,"Open","Seafood"
"58","H96e2s__y-oodr_hkRUQNw","Doc Ford’s Rum Bar & Grille","610 2nd Ave NE","Saint Petersburg","FL","33701",27.7728341,-82.6262161,4,347,1,"Nightlife, American (Traditional), Bars, Restaurants, Seafood, Caribbean",0,"Open","Seafood"
"59","E34saIsYxyuKSJhWwmlb0Q","New Far East Chinese Rest","5527 S 78th St","Tampa","FL","33619",27.8983084,-82.3698957,4,26,1,"Restaurants, Chinese, Seafood",0,"Open","Seafood"
"60","XDyrMUdIWRBXA-d9kNoB5w","Kaz's Seafood Dive","6190 N Hwy 41","Apollo Beach","FL","33572",27.7681528426,-82.3931179258,2.5,19,0,"Seafood, Restaurants",0,"Close","Seafood"
"61","UX7mhQ7zubpAlboAcP0FCQ","Great Wall","3153 4th St N","Saint Petersburg","FL","33704",27.8009309,-82.6377181,2.5,39,1,"Chinese, Seafood, Restaurants, Soup",0,"Open","Seafood"
"62","AP_sb7dETsflRNNkJinYUQ","Chill Restaurant & Bar","357 Corey Ave","Saint Pete Beach","FL","33706",27.742394,-82.7499036,4,287,1,"Bars, Tapas/Small Plates, Seafood, Tapas Bars, Nightlife, Breakfast & Brunch, Restaurants, American (New)",0,"Open","Seafood"
"63","Rv6P37KiiuowrXti2JHZNQ","Nuevo Vallarta Authentic Mexican Food","9359 US Hwy 19 N","Pinellas Park","FL","33782",27.856714,-82.694275,4,106,1,"Event Planning & Services, Chicken Wings, Latin American, Caterers, Restaurants, Mexican, Tacos, New Mexican Cuisine, Seafood, Salad",0,"Open","Seafood"
"64","4FhRbipPKfjk9absHHrfaA","Clear Sky on Cleveland","418 Cleveland St","Clearwater","FL","33755",27.965888,-82.8005450602,4.5,350,1,"Restaurants, Tapas Bars, Food, Nightlife, Bars, Event Planning & Services, Caterers, Seafood, American (New), Desserts, Venues & Event Spaces, Tapas/Small Plates, Breakfast & Brunch, American (Traditional)",0,"Open","Seafood"
"65","zYu2D8FzczailDkEMURExg","Jimmy Guana's","401 2nd St","Indian Rocks Beach","FL","33785",27.8823519,-82.8476129,3,170,1,"Sandwiches, Restaurants, Seafood, Steakhouses",0,"Open","Seafood"
"66","IUN-1btz9-CiL2b6tDNQqg","Benedetto's Ristorante Italiano","21529 Village Lakes Shopping Center Dr","Land O Lakes","FL","34639",28.1905807372,-82.4596807184,3.5,400,1,"Arts & Entertainment, Restaurants, Italian, Beer, Wine & Spirits, Fruits & Veggies, Farms, Specialty Food, Seafood, Food",0,"Open","Seafood"
"67","fOStJUhq7V-qE8RL6xepDw","Parkside Cafe","8180 49th St N","Pinellas Park","FL","33781",27.84619,-82.70033,4,120,1,"Breakfast & Brunch, Desserts, Seafood, Restaurants, American (Traditional), American (New), Food",0,"Open","Seafood"
"68","G7353dWcPSSbbGAAkPt9Tg","Crab Shack","5430 Baylea Ave","Port Richey","FL","34668",28.2695086,-82.7243244,3,69,1,"Restaurants, Seafood, American (Traditional), Salad, Burgers",1,"Open","Seafood"
"69","rE9X9bRStJHLNW3--YpBgA","Chill Restaurant & Bar","7410 Gulf Blvd","Saint Pete Beach","FL","33706",27.7415308,-82.7512571,4,275,0,"Restaurants, Tapas Bars, Breakfast & Brunch, Seafood",0,"Close","Seafood"
"70","NUGDAOHkIovwn0hmts-C8A","Chancy's","2509 N Park Rd","Plant City","FL","33563",28.039822,-82.104878,4,13,0,"Seafood, Restaurants, Sandwiches",0,"Close","Seafood"
"71","UzVplwpLiffTIxhLbSnlzw","Southern Seafood","3343 S West Shore Blvd","Tampa","FL","33629",27.9137341,-82.526722,4.5,36,0,"Seafood, Restaurants, Food, Seafood Markets, Farmers Market, Sandwiches, Specialty Food",0,"Close","Seafood"
"72","PXDLSN8Fg-YQmwGprVrRyA","Hernando Beach Tropical Grille","4139 Shoal Line Blvd","Hernando Beach","FL","34607",28.489677,-82.651001,4,106,1,"Restaurants, Bars, Seafood, Nightlife, Local Flavor, American (Traditional), Tiki Bars",0,"Open","Seafood"
"73","kHg2z92NsImxYob-3o194Q","La Trattoria Restaurant Da Gaetano","2152 Main St","Dunedin","FL","34698",28.0204581,-82.7498008,4,111,1,"Pasta Shops, Seafood, Mexican, Restaurants, Food, Specialty Food, Italian",0,"Open","Seafood"
"74","ebjExMyGlSfz_JXwvBa27g","Saffron Indian Cuisine","10865 Cross Creek Blvd","Tampa","FL","33647",28.143208,-82.291095,4,331,1,"Specialty Food, Indian, Vegetarian, Seafood, Restaurants, Burgers, Wraps, Desserts, Buffets, Vegan, Food",0,"Open","Seafood"
"75","siI0jxPhtrTAxV9GYJlBfg","Salem's Fresh Eats","1605 18th Ave S","Saint Petersburg","FL","33712",27.7523596,-82.6551169,2.5,15,1,"Greek, Middle Eastern, Seafood, Fast Food, Food, Diners, Ethnic Food, Salad, Chicken Wings, Sandwiches, Restaurants, Mediterranean, Specialty Food",0,"Open","Seafood"
"76","6Z89Ixagyc0mrVnyZHiIVw","Catch Twenty Three","10103 Montague St","Tampa","FL","33626",28.0433568,-82.5970998,4,407,1,"Restaurants, Latin American, Caribbean, Sushi Bars, Seafood",0,"Open","Seafood"
