"","Year","Region Category","Rating","n"
"1","2005","American",4,1
"2","2006","American",4,15
"3","2006","Asian",3.625,24
"4","2006","European",4.03333333333333,30
"5","2006","Latin American",4.28571428571429,7
"6","2007","American",3.55555555555556,18
"7","2007","Asian",3.60606060606061,33
"8","2007","European",3.97727272727273,44
"9","2007","Latin American",4.09090909090909,11
"10","2008","American",3.7887323943662,71
"11","2008","Asian",3.81159420289855,69
"12","2008","European",3.59259259259259,81
"13","2008","Latin American",3.84210526315789,57
"14","2009","American",3.76679841897233,253
"15","2009","Asian",3.81914893617021,188
"16","2009","European",3.70149253731343,201
"17","2009","Latin American",3.76612903225806,124
"18","2010","American",3.78494623655914,465
"19","2010","Asian",3.66326530612245,294
"20","2010","European",3.6247191011236,445
"21","2010","Latin American",3.58490566037736,265
"22","2011","American",3.72128227960819,1123
"23","2011","Asian",3.64157119476268,611
"24","2011","European",3.66158868335147,919
"25","2011","Latin American",3.56363636363636,550
"26","2012","American",3.68054375531011,2354
"27","2012","Asian",3.52026286966046,913
"28","2012","European",3.64101091326824,1741
"29","2012","Latin American",3.66204162537166,1009
"30","2013","American",3.71714865550482,3942
"31","2013","Asian",3.74812030075188,1596
"32","2013","European",3.53366873065015,2584
"33","2013","Latin American",3.56078191814294,1637
"34","2014","American",3.76199709161415,6189
"35","2014","Asian",3.85957953193177,2521
"36","2014","European",3.5299596398634,3221
"37","2014","Latin American",3.57529463116543,2291
"38","2015","American",3.77239025538425,8497
"39","2015","Asian",3.77965194109772,3735
"40","2015","European",3.66891749314201,4739
"41","2015","Latin American",3.55152051963389,3387
"42","2016","American",3.77346983228055,9182
"43","2016","Asian",3.85298717547701,3197
"44","2016","European",3.7235269000854,4684
"45","2016","Latin American",3.55792682926829,3280
"46","2017","American",3.75994284353417,8398
"47","2017","Asian",3.80959097320169,2836
"48","2017","European",3.73891625615764,4263
"49","2017","Latin American",3.68095529699939,3266
"50","2018","American",3.73493141194402,7217
"51","2018","Asian",3.87911592241768,2217
"52","2018","European",3.69101934738666,3463
"53","2018","Latin American",3.75769612711023,3021
"54","2019","American",3.63322822230981,5074
"55","2019","Asian",3.84577114427861,1407
"56","2019","European",3.74210343630684,2881
"57","2019","Latin American",3.65077989601386,2308
"58","2020","American",3.86458957459557,1669
"59","2020","Asian",3.96866096866097,702
"60","2020","European",3.75810185185185,864
"61","2020","Latin American",3.89547038327526,574
"62","2021","American",3.54334365325077,646
"63","2021","Asian",3.69140625,256
"64","2021","European",3.69611307420495,283
"65","2021","Latin American",3.88775510204082,196
"66","2022","American",3,8
"67","2022","Asian",5,5
