Tampa Bay Movies,,longtitude,latitude
Look Dine-In Cinemas Tampa ,,28.08924414,-82.43336181
Lakewood Ranch Cinema,,27.41718387,-82.4347351
AMC The Regency 20,,27.97166066,-82.32487183
AMC West Shore 14,,27.97044779,-82.52811888
AMC Riverview 14,,27.87580199,-82.35508423
Regal Largo Mall,,27.91194532,-82.78649104
AMC Bradenton 20,,27.46082322,-82.53292995
AMC CLASSIC Palm Harbor 10,,28.13654703,-82.74085361
Regal Oakmont,,27.4910955,-82.60983006
Cinemark Lakeland Square Mall and XD,,28.11362497,-81.97945645
AMC Highwoods 20,,28.15775006,-82.37167415
Regal Park Place,,27.86434501,-82.68615776
Regal Citrus Park,,28.09234883,-82.58041437
Green Light Cinema,,27.80225505,-82.64024231
AMC Woodlands Square 20,,28.08189482,-82.70313464
AMC Sundial 12,,27.80046855,-82.63616045
Xscape Theatres Riverview 14,,27.91459799,-82.34639608
CMX Cinemas Countryside 12,,28.04557689,-82.73915727
CMX Cinemas Tyrone Luxury 10,,27.82476147,-82.73641069
