Shopping Mall,longtitude,latitude
International Plaza and Bay Street,28.05127242,-82.52239515
WestShore Plaza,28.13813559,-82.58803868
Clearwater Mall,28.05127242,-82.72401457
Tyrone Square,27.88976889,-82.72401457
Hillsboro Plaza,28.08437144,-82.4942622
The Shoppes at Park Place,27.9187745,-82.68181516
Town Square Center,28.02644147,-82.53177279
La Place Shopping Center,28.17947428,-82.44737396
Lake Brandon Plaza,28.02644147,-82.33015337
Main Street Shopping Center,28.16707435,-82.49895103
Ridge Plaza Shopping Center,28.38180268,-82.67243751
Gateway Market Center,27.95191424,-82.64899339
Pelican Walk Plaza Clearwater Beach Florida,28.08437144,-82.83654635
Colony Plaza,28.96185733,-81.9644251
Clermont Landing,28.63314232,-81.73936155
Lake Square Mall,28.94239483,-81.78254964
Winter Garden Village,28.63428441,-81.57380942
The Plaza at Citrus Park,28.17041954,-82.56807202
The Shops at Surfside,26.72755154,-82.01875567
